year,tickets,total_revenue
2013,13715,38227600
2014,20133,101368392
2015,25639,106627500
2016,12757,138783900
2017,21233,244950500
2018,22395,306644300
2019,36277,648046400
2020,17932,162725100
2021,13353,483393650
2022,82001,1395181009
2023,82512,1748366105
2024,85499,1675227655
2025,144631,3520742208
2026,19652,466131800
